area,occ_code,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse,h_pct25,h_median,h_pct75,a_pct25,a_median,a_pct75
24,00-0000,2677430.0,0.0,1000.0,1.0,35.4,73620.0,0.4,17.99,26.83,43.57,37420.0,55810.0,90630.0
25,00-0000,3643450.0,0.0,1000.0,1.0,38.62,80330.0,0.4,19.3,29.18,47.17,40130.0,60690.0,98110.0
26,00-0000,4347960.0,0.0,1000.0,1.0,29.13,60600.0,0.2,17.0,22.57,34.95,35360.0,46940.0,72690.0
27,00-0000,2881100.0,0.0,1000.0,1.0,32.07,66700.0,0.5,18.03,24.46,38.06,37510.0,50880.0,79170.0
28,00-0000,1149950.0,0.0,1000.0,1.0,22.87,47570.0,0.3,13.42,18.03,26.86,27910.0,37500.0,55870.0
29,00-0000,2876400.0,0.0,1000.0,1.0,27.68,57580.0,0.6,16.07,21.67,31.4,33430.0,45080.0,65310.0
30,00-0000,501730.0,0.0,1000.0,1.0,26.88,55920.0,0.6,16.5,21.97,30.9,34320.0,45690.0,64270.0
31,00-0000,1000860.0,0.0,1000.0,1.0,27.92,58080.0,0.3,16.86,22.33,31.98,35060.0,46440.0,66510.0
32,00-0000,1481820.0,0.0,1000.0,1.0,28.32,58900.0,0.9,16.19,21.54,31.79,33670.0,44810.0,66120.0
33,00-0000,675150.0,0.0,1000.0,1.0,31.78,66110.0,0.3,17.85,24.03,37.21,37130.0,49980.0,77390.0
34,00-0000,4202170.0,0.0,1000.0,1.0,35.57,73980.0,0.3,17.95,26.38,43.1,37330.0,54860.0,89650.0
35,00-0000,845580.0,0.0,1000.0,1.0,27.65,57520.0,0.2,14.92,20.97,31.91,31030.0,43620.0,66370.0
36,00-0000,9392830.0,0.0,1000.0,1.0,37.8,78620.0,0.4,18.36,27.33,44.74,38180.0,56840.0,93050.0
37,00-0000,4795040.0,0.0,1000.0,1.0,28.71,59730.0,0.2,15.82,21.85,32.68,32910.0,45440.0,67980.0
38,00-0000,417500.0,0.1,1000.0,1.0,28.39,59050.0,0.6,17.7,23.47,32.83,36820.0,48830.0,68280.0
39,00-0000,5469160.0,0.0,1000.0,1.0,28.79,59890.0,0.3,16.69,22.45,34.55,34720.0,46690.0,71860.0
40,00-0000,1664310.0,0.0,1000.0,1.0,25.7,53450.0,0.4,14.38,19.94,29.99,29920.0,41480.0,62380.0
41,00-0000,1943180.0,0.0,1000.0,1.0,32.07,66710.0,0.3,18.13,24.04,37.83,37700.0,50010.0,78680.0
42,00-0000,5948490.0,0.0,1000.0,1.0,29.77,61920.0,0.4,16.83,22.81,35.66,35000.0,47430.0,74170.0
44,00-0000,488220.0,0.0,1000.0,1.0,32.02,66610.0,0.4,17.81,24.5,38.78,37040.0,50970.0,80670.0
45,00-0000,2222950.0,0.0,1000.0,1.0,26.08,54250.0,0.3,14.8,20.3,30.24,30780.0,42220.0,62900.0
46,00-0000,444400.0,0.0,1000.0,1.0,25.59,53230.0,0.3,15.85,21.0,28.84,32970.0,43680.0,59980.0
47,00-0000,3219060.0,0.0,1000.0,1.0,26.94,56030.0,0.5,15.73,21.07,30.3,32710.0,43820.0,63030.0
48,00-0000,13557950.0,0.0,1000.0,1.0,29.44,61240.0,0.4,15.35,22.1,34.92,31920.0,45970.0,72640.0
49,00-0000,1678660.0,0.0,1000.0,1.0,29.36,61070.0,0.4,17.08,22.6,34.29,35530.0,47020.0,71330.0
50,00-0000,300760.0,0.0,1000.0,1.0,30.18,62780.0,0.4,18.27,23.86,35.48,38010.0,49630.0,73800.0
51,00-0000,3981130.0,0.0,1000.0,1.0,33.68,70050.0,0.5,17.15,24.0,39.17,35670.0,49920.0,81480.0
53,00-0000,3495500.0,0.0,1000.0,1.0,37.56,78130.0,0.3,20.85,28.81,45.76,43370.0,59920.0,95180.0
54,00-0000,688670.0,0.0,1000.0,1.0,25.1,52200.0,0.3,14.07,19.12,29.42,29260.0,39770.0,61190.0
55,00-0000,2885990.0,0.0,1000.0,1.0,28.61,59500.0,0.3,17.19,22.88,32.76,35760.0,47590.0,68140.0
56,00-0000,273750.0,0.0,1000.0,1.0,27.85,57930.0,0.3,16.6,22.72,33.05,34530.0,47250.0,68740.0
1,11-0000,105580.0,0.8,51.424,0.74,56.21,116920.0,0.5,35.18,47.95,67.22,73180.0,99740.0,139810.0
2,11-0000,23750.0,1.3,76.215,1.1,59.74,124260.0,0.9,38.45,52.25,70.07,79980.0,108680.0,145750.0
4,11-0000,232000.0,0.9,74.128,1.07,59.53,123820.0,1.2,33.65,49.31,74.48,69990.0,102560.0,154920.0
5,11-0000,89800.0,1.4,70.633,1.02,47.14,98060.0,0.6,25.64,38.74,57.74,53330.0,80570.0,120100.0
6,11-0000,1308800.0,0.7,72.93,1.06,77.1,160360.0,1.4,43.76,65.31,97.97,91020.0,135840.0,203770.0
8,11-0000,156700.0,1.7,55.331,0.8,74.99,155970.0,1.0,48.33,65.95,88.46,100530.0,137170.0,184000.0
9,11-0000,148160.0,0.8,89.236,1.29,73.74,153380.0,0.8,45.76,63.73,86.03,95190.0,132550.0,178930.0
10,11-0000,22890.0,1.5,48.782,0.71,76.65,159440.0,1.4,49.21,67.33,91.44,102360.0,140050.0,190200.0
11,11-0000,101680.0,1.0,144.872,2.1,83.03,172710.0,0.9,60.34,77.55,88.22,125510.0,161300.0,183500.0
12,11-0000,601150.0,0.9,62.827,0.91,62.44,129870.0,0.7,34.38,50.08,76.94,71510.0,104170.0,160020.0
13,11-0000,304430.0,1.1,63.985,0.93,64.69,134550.0,0.8,36.41,53.3,80.07,75730.0,110870.0,166550.0
15,11-0000,39790.0,1.1,64.493,0.93,58.2,121050.0,0.8,38.46,51.21,68.46,80000.0,106520.0,142400.0
16,11-0000,62970.0,1.1,76.538,1.11,49.0,101920.0,1.0,27.2,39.55,59.57,56580.0,82260.0,123900.0
17,11-0000,535650.0,0.7,89.101,1.29,65.06,135320.0,0.6,38.02,56.31,80.15,79070.0,117130.0,166710.0
18,11-0000,161640.0,0.7,51.205,0.74,56.74,118010.0,0.8,34.26,48.42,67.31,71270.0,100710.0,140000.0
19,11-0000,99710.0,0.6,64.545,0.93,52.12,108400.0,0.5,30.93,45.72,63.75,64330.0,95090.0,132600.0
20,11-0000,72160.0,1.2,51.104,0.74,57.69,119990.0,0.7,35.14,49.47,70.32,73100.0,102890.0,146260.0
21,11-0000,116200.0,1.4,59.192,0.86,50.95,105980.0,1.1,29.5,43.86,62.08,61360.0,91230.0,129120.0
22,11-0000,114790.0,0.9,61.985,0.9,54.93,114250.0,0.6,34.02,47.21,64.13,70760.0,98200.0,133390.0
23,11-0000,43000.0,3.4,69.161,1.0,55.62,115690.0,2.1,34.34,47.98,66.44,71430.0,99790.0,138200.0
24,11-0000,244320.0,0.8,91.252,1.32,66.34,137990.0,0.7,39.63,60.09,81.65,82420.0,124990.0,169830.0
25,11-0000,345350.0,1.3,94.786,1.37,77.15,160460.0,0.6,46.33,65.59,97.1,96360.0,136430.0,201970.0
26,11-0000,277450.0,0.8,63.812,0.92,59.78,124330.0,0.7,36.65,51.08,74.9,76220.0,106250.0,155790.0
27,11-0000,201710.0,0.7,70.01,1.01,64.47,134100.0,0.7,38.05,56.38,80.3,79140.0,117260.0,167030.0
28,11-0000,57060.0,1.0,49.616,0.72,46.42,96560.0,1.0,27.75,38.91,55.04,57730.0,80930.0,114480.0
29,11-0000,195600.0,1.1,68.0,0.98,52.62,109450.0,1.2,28.95,44.31,64.51,60220.0,92160.0,134180.0
30,11-0000,28350.0,1.3,56.505,0.82,51.67,107470.0,1.1,30.28,45.12,62.5,62980.0,93850.0,130000.0
31,11-0000,72910.0,1.0,72.852,1.05,54.96,114320.0,0.9,33.89,48.42,65.32,70480.0,100710.0,135870.0
32,11-0000,115160.0,1.4,77.717,1.12,57.65,119910.0,3.0,30.16,45.04,65.34,62740.0,93670.0,135900.0
33,11-0000,48580.0,0.9,71.958,1.04,67.81,141050.0,0.8,39.51,58.0,81.81,82180.0,120650.0,170160.0
34,11-0000,297540.0,0.8,70.807,1.02,83.86,174430.0,0.6,53.95,77.12,101.2,112210.0,160410.0,210490.0
35,11-0000,46340.0,1.4,54.804,0.79,56.91,118370.0,1.0,36.59,48.93,65.53,76110.0,101770.0,136300.0
36,11-0000,611690.0,0.8,65.123,0.94,86.07,179030.0,0.7,48.07,73.33,104.84,99990.0,152520.0,218070.0
37,11-0000,291430.0,0.8,60.777,0.88,63.95,133010.0,0.5,37.82,53.22,78.96,78670.0,110700.0,164240.0
38,11-0000,24400.0,1.5,58.453,0.85,55.21,114830.0,1.9,32.79,47.0,64.92,68190.0,97760.0,135030.0
39,11-0000,364650.0,0.5,66.674,0.96,56.89,118330.0,0.6,32.02,48.38,69.46,66610.0,100640.0,144480.0
40,11-0000,93310.0,0.9,56.068,0.81,52.36,108920.0,0.9,29.55,44.75,63.69,61460.0,93080.0,132480.0
41,11-0000,139440.0,0.8,71.76,1.04,59.96,124720.0,0.6,36.12,51.31,74.23,75130.0,106730.0,154400.0
42,11-0000,403290.0,0.9,67.797,0.98,63.3,131660.0,1.2,37.79,53.51,78.02,78600.0,111290.0,162280.0
44,11-0000,23210.0,2.2,47.53,0.69,67.52,140440.0,1.4,43.59,59.97,81.47,90660.0,124730.0,169460.0
45,11-0000,131290.0,0.7,59.06,0.85,55.89,116250.0,0.5,34.54,48.33,67.23,71840.0,100520.0,139850.0
46,11-0000,15720.0,2.5,35.382,0.51,59.84,124480.0,1.1,36.75,50.15,70.56,76430.0,104310.0,146760.0
47,11-0000,218500.0,0.8,67.878,0.98,58.82,122340.0,0.6,34.21,49.13,72.19,71170.0,102180.0,150140.0
48,11-0000,1124950.0,1.1,82.973,1.2,61.61,128150.0,0.7,35.13,50.56,77.65,73070.0,105170.0,161510.0
49,11-0000,130640.0,0.9,77.826,1.13,57.45,119490.0,1.2,31.58,48.8,72.26,65680.0,101510.0,150300.0
50,11-0000,23490.0,1.2,78.116,1.13,54.7,113770.0,1.5,35.35,46.65,63.65,73530.0,97030.0,132400.0
51,11-0000,245040.0,1.0,61.551,0.89,71.71,149150.0,0.5,43.37,63.64,86.65,90220.0,132380.0,180230.0
53,11-0000,193830.0,1.2,55.452,0.8,77.73,161680.0,0.6,49.95,68.45,94.68,103890.0,142380.0,196940.0
54,11-0000,40150.0,1.3,58.301,0.84,49.54,103030.0,0.7,28.32,40.14,61.54,58900.0,83500.0,128010.0
55,11-0000,134700.0,0.6,46.675,0.68,63.67,132440.0,0.5,40.03,55.69,76.87,83260.0,115820.0,159890.0
56,11-0000,14830.0,1.4,54.168,0.78,53.25,110760.0,1.4,30.2,45.62,63.69,62810.0,94890.0,132470.0
1,11-1011,720.0,6.8,0.348,0.25,106.26,221030.0,5.8,59.6,79.48,102.01,123960.0,165320.0,212180.0
2,11-1011,920.0,6.9,2.958,2.13,93.74,194980.0,3.0,51.6,75.3,108.19,107330.0,156610.0,225030.0
5,11-1011,2190.0,3.7,1.721,1.24,80.52,167490.0,2.1,38.48,60.58,90.27,80040.0,126010.0,187770.0
19,11-1011,3120.0,5.6,2.017,1.45,86.99,180940.0,2.9,40.84,65.7,110.98,84940.0,136650.0,230830.0
23,11-1011,1550.0,8.2,2.491,1.79,75.12,156260.0,3.6,37.85,57.41,96.15,78730.0,119410.0,199990.0
28,11-1011,580.0,7.9,0.502,0.36,74.71,155400.0,2.9,49.69,59.01,79.55,103350.0,122740.0,165460.0
33,11-1011,560.0,11.1,0.823,0.59,90.83,188920.0,7.3,42.32,62.02,105.73,88030.0,129010.0,219920.0
40,11-1011,2740.0,4.6,1.643,1.18,76.07,158230.0,3.3,38.48,61.65,90.71,80040.0,128230.0,188680.0
50,11-1011,710.0,6.7,2.347,1.69,94.08,195690.0,10.4,58.01,75.66,111.83,120650.0,157370.0,232610.0
56,11-1011,100.0,7.1,0.382,0.27,69.87,145320.0,5.6,44.23,65.35,79.32,92000.0,135940.0,164990.0
1,11-1021,34450.0,2.7,16.781,0.73,62.17,129310.0,1.1,34.74,49.67,78.25,72260.0,103320.0,162760.0
2,11-1021,6150.0,3.7,19.727,0.85,58.09,120820.0,1.3,35.81,50.35,71.84,74490.0,104720.0,149430.0
4,11-1021,94010.0,1.8,30.037,1.3,54.71,113800.0,1.4,28.94,40.9,63.85,60200.0,85070.0,132800.0
5,11-1021,34660.0,4.7,27.266,1.18,42.21,87790.0,1.0,20.93,30.75,49.86,43540.0,63970.0,103710.0
6,11-1021,273630.0,0.9,15.248,0.66,74.6,155170.0,4.2,39.52,58.72,86.0,82210.0,122140.0,178870.0
8,11-1021,44710.0,3.7,15.788,0.68,75.1,156210.0,1.3,42.16,60.59,88.1,87680.0,126030.0,183250.0
9,11-1021,48760.0,3.5,29.369,1.27,74.94,155870.0,1.9,38.57,59.52,89.66,80220.0,123810.0,186490.0
10,11-1021,4750.0,3.1,10.112,0.44,81.26,169020.0,2.0,46.58,65.59,101.58,96880.0,136440.0,211280.0
11,11-1021,34580.0,2.1,49.266,2.13,83.77,174250.0,1.1,58.05,78.36,91.73,120750.0,162990.0,190800.0
12,11-1021,203090.0,3.2,21.226,0.92,62.84,130720.0,1.5,30.51,47.8,76.71,63470.0,99420.0,159560.0
13,11-1021,104480.0,1.5,21.959,0.95,59.57,123900.0,1.5,28.84,46.98,75.3,59990.0,97720.0,156620.0
15,11-1021,12570.0,2.4,20.374,0.88,59.92,124640.0,2.6,37.38,50.48,73.3,77750.0,105000.0,152460.0
16,11-1021,32470.0,1.8,39.47,1.71,41.23,85750.0,1.8,23.33,33.89,49.14,48530.0,70490.0,102210.0
17,11-1021,182840.0,2.0,30.415,1.32,62.31,129590.0,1.8,31.28,48.68,78.05,65060.0,101250.0,162340.0
18,11-1021,49470.0,1.0,15.672,0.68,62.28,129530.0,0.8,32.94,49.55,77.07,68520.0,103050.0,160310.0
19,11-1021,35510.0,1.8,22.985,1.0,45.75,95160.0,0.8,25.21,37.79,56.22,52440.0,78610.0,116940.0
20,11-1021,24510.0,2.3,17.357,0.75,52.15,108470.0,1.1,29.51,41.2,62.5,61370.0,85690.0,130000.0
21,11-1021,50500.0,1.8,25.728,1.11,46.88,97500.0,2.7,25.21,37.93,58.9,52440.0,78890.0,122510.0
22,11-1021,43130.0,1.2,23.29,1.01,58.68,122050.0,1.1,32.88,48.8,70.87,68380.0,101500.0,147410.0
23,11-1021,14740.0,2.3,23.714,1.03,51.83,107810.0,1.2,29.43,44.9,64.53,61210.0,93390.0,134220.0
24,11-1021,90520.0,1.5,33.81,1.46,60.77,126410.0,1.9,33.51,49.24,78.64,69700.0,102420.0,163560.0
25,11-1021,111380.0,1.2,30.571,1.32,72.05,149870.0,1.2,38.11,58.02,86.49,79260.0,120680.0,179890.0
26,11-1021,88500.0,1.0,20.355,0.88,56.8,118150.0,1.2,30.0,46.7,69.73,62400.0,97140.0,145030.0
27,11-1021,76670.0,2.3,26.612,1.15,55.04,114490.0,0.9,29.2,45.67,66.85,60730.0,94990.0,139040.0
28,11-1021,18790.0,3.4,16.336,0.71,48.63,101150.0,1.3,24.92,37.08,59.68,51830.0,77120.0,124140.0
29,11-1021,95120.0,2.4,33.068,1.43,47.37,98520.0,2.1,23.89,37.03,58.2,49690.0,77030.0,121050.0
30,11-1021,11120.0,2.4,22.16,0.96,48.23,100320.0,1.4,29.41,40.86,59.93,61160.0,84990.0,124650.0
31,11-1021,22390.0,1.6,22.372,0.97,47.64,99080.0,1.6,26.99,38.65,59.61,56140.0,80380.0,123980.0
32,11-1021,42450.0,3.6,28.644,1.24,60.57,125990.0,7.3,28.2,43.43,70.1,58650.0,90320.0,145820.0
33,11-1021,19570.0,3.3,28.981,1.25,66.88,139120.0,1.8,36.84,50.0,79.54,76620.0,103990.0,165450.0
34,11-1021,64680.0,1.7,15.391,0.67,86.97,180890.0,1.4,47.72,71.33,105.9,99250.0,148370.0,220270.0
35,11-1021,17200.0,2.3,20.338,0.88,58.06,120760.0,2.2,33.51,47.59,65.17,69700.0,98990.0,135560.0
36,11-1021,212770.0,1.0,22.652,0.98,79.33,165000.0,1.7,38.75,60.74,98.19,80590.0,126330.0,204230.0
37,11-1021,71340.0,1.1,14.878,0.64,63.75,132590.0,0.7,34.23,50.27,78.95,71190.0,104570.0,164220.0
38,11-1021,10780.0,2.7,25.831,1.12,54.22,112780.0,4.2,30.18,42.11,61.86,62780.0,87580.0,128670.0
39,11-1021,143080.0,0.9,26.161,1.13,55.75,115950.0,0.6,29.18,45.14,66.98,60690.0,93880.0,139320.0
40,11-1021,41540.0,1.5,24.96,1.08,49.65,103270.0,1.5,25.12,38.97,61.75,52250.0,81060.0,128440.0
41,11-1021,47740.0,2.7,24.569,1.06,54.36,113080.0,0.9,30.13,43.62,64.07,62660.0,90720.0,133270.0
42,11-1021,145770.0,1.3,24.505,1.06,58.47,121610.0,1.8,32.31,47.67,70.67,67200.0,99140.0,146990.0
44,11-1021,7710.0,4.0,15.795,0.68,70.01,145620.0,2.7,41.81,58.77,86.76,86960.0,122240.0,180460.0
45,11-1021,43390.0,1.5,19.521,0.85,52.26,108710.0,1.2,29.82,43.42,64.86,62020.0,90310.0,134900.0
46,11-1021,4180.0,4.1,9.406,0.41,69.65,144880.0,1.6,47.98,62.79,82.09,99800.0,130610.0,170750.0
47,11-1021,70580.0,1.3,21.925,0.95,58.3,121270.0,1.1,30.94,46.99,72.05,64350.0,97740.0,149860.0
48,11-1021,448530.0,1.9,33.083,1.43,58.97,122650.0,1.3,28.42,46.18,75.35,59110.0,96050.0,156730.0
49,11-1021,56000.0,1.9,33.358,1.44,51.4,106910.0,2.7,27.14,40.07,63.49,56450.0,83350.0,132070.0
50,11-1021,8060.0,2.7,26.786,1.16,51.0,106070.0,2.4,31.32,40.43,59.55,65140.0,84090.0,123860.0
51,11-1021,92650.0,1.5,23.271,1.01,66.82,138980.0,0.8,37.27,58.2,82.47,77520.0,121050.0,171550.0
53,11-1021,59230.0,2.2,16.946,0.73,69.43,144420.0,0.8,40.73,59.29,83.09,84720.0,123330.0,172820.0
54,11-1021,14950.0,1.4,21.707,0.94,45.26,94150.0,1.2,25.4,36.49,54.9,52830.0,75890.0,114190.0
55,11-1021,35130.0,1.1,12.173,0.53,68.22,141910.0,0.7,38.11,56.28,83.18,79270.0,117070.0,173020.0
56,11-1021,6970.0,2.5,25.468,1.1,56.26,117030.0,2.6,28.68,42.59,65.57,59660.0,88580.0,136390.0
1,11-2011,70.0,16.5,0.032,0.24,53.99,112290.0,3.3,39.88,50.37,64.03,82950.0,104770.0,133170.0
4,11-2011,60.0,22.5,0.021,0.15,67.83,141080.0,13.5,38.7,58.43,93.03,80500.0,121540.0,193500.0
5,11-2011,110.0,28.1,0.089,0.66,49.64,103250.0,7.9,34.74,44.43,51.6,72250.0,92410.0,107320.0
6,11-2011,2880.0,7.2,0.16,1.18,84.18,175080.0,6.0,50.12,67.48,97.44,104240.0,140360.0,202670.0
9,11-2011,160.0,24.2,0.098,0.72,79.05,164420.0,11.6,46.55,71.06,105.91,96820.0,147810.0,220300.0
11,11-2011,90.0,23.6,0.129,0.95,61.16,127200.0,8.4,33.29,52.19,68.51,69250.0,108560.0,142510.0
12,11-2011,1140.0,10.7,0.119,0.87,58.84,122390.0,5.0,37.77,49.96,72.7,78560.0,103920.0,151210.0
13,11-2011,520.0,11.3,0.109,0.8,76.23,158550.0,2.6,50.21,73.55,95.36,104440.0,152980.0,198350.0
17,11-2011,610.0,15.4,0.102,0.75,56.52,117550.0,8.5,25.21,52.06,70.11,52440.0,108280.0,145840.0
18,11-2011,190.0,12.7,0.06,0.44,55.55,115540.0,3.2,40.21,48.21,69.72,83640.0,100270.0,145010.0
19,11-2011,80.0,17.7,0.053,0.39,50.07,104140.0,4.8,39.49,47.67,58.93,82150.0,99150.0,122580.0
21,11-2011,220.0,25.0,0.114,0.84,41.38,86070.0,5.6,32.34,39.23,49.01,67270.0,81600.0,101930.0
22,11-2011,60.0,19.1,0.034,0.25,47.88,99580.0,5.7,34.92,38.67,60.78,72630.0,80430.0,126430.0
23,11-2011,170.0,18.8,0.27,1.98,63.82,132740.0,7.1,42.59,64.37,73.48,88580.0,133890.0,152840.0
24,11-2011,640.0,7.1,0.239,1.76,61.94,128840.0,2.5,44.74,59.24,74.34,93050.0,123220.0,154640.0
25,11-2011,560.0,32.4,0.153,1.13,65.82,136910.0,10.2,40.58,58.56,85.82,84400.0,121810.0,178510.0
26,11-2011,200.0,10.4,0.046,0.34,50.53,105100.0,3.3,37.83,52.21,60.52,78690.0,108590.0,125880.0
27,11-2011,110.0,23.6,0.037,0.27,57.71,120040.0,8.1,37.63,55.48,70.61,78280.0,115390.0,146860.0
28,11-2011,100.0,16.4,0.086,0.64,40.64,84530.0,9.8,24.43,29.92,47.63,50800.0,62230.0,99070.0
29,11-2011,380.0,15.5,0.132,0.97,38.24,79540.0,5.8,26.95,31.48,39.61,56060.0,65480.0,82400.0
30,11-2011,40.0,14.3,0.072,0.53,44.74,93070.0,6.0,30.59,39.58,57.17,63630.0,82320.0,118910.0
31,11-2011,180.0,17.6,0.183,1.35,50.35,104720.0,5.4,36.34,47.58,60.33,75600.0,98970.0,125480.0
32,11-2011,260.0,16.6,0.174,1.28,51.22,106530.0,6.6,36.53,43.87,64.24,75980.0,91240.0,133610.0
33,11-2011,140.0,16.3,0.201,1.48,64.66,134490.0,10.2,30.75,65.79,96.83,63960.0,136840.0,201400.0
34,11-2011,590.0,16.5,0.14,1.03,85.81,178480.0,5.4,63.49,83.36,101.09,132050.0,173380.0,210280.0
35,11-2011,100.0,30.1,0.122,0.9,70.19,146000.0,8.6,45.96,72.11,96.52,95590.0,149990.0,200760.0
37,11-2011,170.0,14.9,0.035,0.26,70.96,147600.0,5.9,55.2,64.27,81.5,114820.0,133690.0,169510.0
39,11-2011,190.0,14.1,0.035,0.25,54.79,113960.0,5.6,33.79,47.8,67.61,70280.0,99420.0,140620.0
40,11-2011,100.0,16.9,0.061,0.45,45.49,94630.0,7.7,29.56,38.55,52.91,61490.0,80190.0,110040.0
44,11-2011,110.0,18.6,0.222,1.63,70.27,146160.0,12.3,46.84,65.79,81.11,97430.0,136840.0,168700.0
45,11-2011,310.0,22.9,0.141,1.04,57.59,119790.0,6.5,39.79,57.57,64.59,82750.0,119750.0,134350.0
47,11-2011,300.0,25.2,0.094,0.69,45.06,93720.0,9.6,28.66,38.82,57.96,59600.0,80750.0,120550.0
48,11-2011,2250.0,10.9,0.166,1.22,55.15,114700.0,4.8,34.95,49.61,67.59,72690.0,103180.0,140580.0
49,11-2011,290.0,18.1,0.175,1.29,56.3,117110.0,4.3,38.32,51.28,64.81,79710.0,106660.0,134810.0
51,11-2011,230.0,18.7,0.057,0.42,69.19,143910.0,11.0,50.56,63.36,83.07,105160.0,131790.0,172790.0
53,11-2011,230.0,10.3,0.065,0.47,81.7,169940.0,3.3,60.34,78.86,96.59,125500.0,164030.0,200910.0
54,11-2011,30.0,30.1,0.05,0.37,36.13,75140.0,10.8,27.25,29.74,35.63,56670.0,61860.0,74110.0
55,11-2011,90.0,45.2,0.032,0.24,63.5,132080.0,10.0,51.39,62.53,65.0,106900.0,130060.0,135200.0
1,11-2021,1490.0,3.7,0.728,0.3,62.94,130920.0,1.9,39.16,54.55,78.95,81450.0,113460.0,164210.0
2,11-2021,160.0,6.9,0.519,0.21,54.0,112320.0,5.4,43.34,50.52,60.36,90160.0,105080.0,125550.0
5,11-2021,1360.0,7.1,1.066,0.44,62.18,129340.0,3.1,37.19,56.87,79.04,77350.0,118290.0,164390.0
6,11-2021,59830.0,2.8,3.334,1.37,92.66,192730.0,1.0,62.45,83.89,109.89,129890.0,174480.0,228560.0
8,11-2021,5970.0,8.5,2.109,0.87,88.41,183890.0,1.6,65.65,81.36,104.39,136550.0,169220.0,217130.0
9,11-2021,7080.0,9.3,4.267,1.76,81.41,169340.0,2.1,57.7,78.21,100.06,120020.0,162690.0,208130.0
10,11-2021,1090.0,7.8,2.314,0.95,88.6,184280.0,1.6,66.41,83.23,105.91,138130.0,173110.0,220300.0
11,11-2021,3330.0,9.1,4.746,1.95,81.29,169080.0,2.2,60.23,75.36,95.43,125280.0,156750.0,198490.0
12,11-2021,17420.0,3.6,1.82,0.75,75.0,155990.0,1.6,48.85,66.51,95.36,101610.0,138340.0,198340.0
13,11-2021,9930.0,2.5,2.086,0.86,79.38,165100.0,1.2,58.0,75.33,94.95,120630.0,156680.0,197500.0
15,11-2021,330.0,9.4,0.534,0.22,73.32,152510.0,9.6,47.9,60.63,92.34,99620.0,126110.0,192070.0
16,11-2021,1260.0,5.0,1.531,0.63,57.17,118910.0,3.6,37.64,52.32,72.54,78280.0,108820.0,150870.0
17,11-2021,24910.0,3.5,4.143,1.71,75.35,156730.0,1.3,50.25,71.84,95.97,104520.0,149430.0,199610.0
18,11-2021,3380.0,4.9,1.072,0.44,63.28,131620.0,4.8,39.35,59.42,80.3,81840.0,123590.0,167020.0
